#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
100 0.000 0.000 0.000 0.000 0.000 0.000 0.097 2.468 0.050 1.961 0.082 2.108 2 8.38 0.30 -0.70 0.44 -1.46 0.28
101 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.38 0.30 -1.16 0.51 -1.44 0.31
102 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.31 0.36 -1.14 0.55 -1.39 0.31
103 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.26 0.37 -1.07 0.52 -1.53 0.33
104 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.36 0.32 -1.12 0.50 -1.39 0.24
105 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.39 0.31 -1.12 0.51 -1.41 0.29
106 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.32 0.34 -1.08 0.50 -1.49 0.30
107 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.32 -1.10 0.54 -1.40 0.35
108 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.31 0.31 -1.00 0.60 -1.48 0.37
109 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.34 0.31 -0.97 0.42 -1.40 0.32
110 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.37 0.30 -1.13 0.45 -1.37 0.28
111 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.40 0.30 -1.03 0.45 -1.41 0.35
112 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.20 0.33 -1.23 0.48 -1.42 0.27
113 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.10 0.35 -1.20 0.44 -1.49 0.35
114 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.02 0.37 -1.07 0.52 -1.50 0.34
115 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.10 0.36 -1.19 0.50 -1.44 0.28
116 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 7.97 0.35 -0.94 0.52 -1.36 0.33
117 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 7.99 0.36 -0.96 0.49 -1.51 0.31
118 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.04 0.40 -0.86 0.59 -1.49 0.32
119 0.000 0.000 0.000 0.000 0.000 0.000 0.014 0.001 0.311 0.074 0.058 0.085 2 7.44 0.31 -0.27 0.25 -0.87 0.13
120 0.000 0.000 0.000 0.000 0.000 0.000 0.014 0.001 0.311 0.074 0.058 0.085 2 7.49 0.31 -0.25 0.19 -0.91 0.16
121 0.000 0.000 0.000 0.000 0.000 0.000 0.669 0.060 0.095 0.042 0.034 0.055 2 7.60 0.42 -0.44 0.36 -2.09 0.11
122 0.000 0.000 0.000 0.000 0.000 0.000 0.669 0.060 0.095 0.042 0.034 0.055 2 7.52 0.34 -0.57 0.36 -2.09 0.10
123 0.000 0.000 0.000 0.000 0.000 0.000 0.078 9.823 0.069 0.978 0.018 1.215 2 8.36 0.33 -0.83 0.59 -1.92 0.24
124 0.000 0.000 0.000 0.000 0.000 0.000 0.078 9.823 0.069 0.978 0.018 1.215 2 8.31 0.37 -0.66 0.37 -1.89 0.23
125 0.000 0.000 0.000 0.000 0.000 0.000 0.479 0.015 0.108 0.008 0.021 0.015 2 7.57 0.41 -0.22 0.27 -2.06 0.09
126 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.001 0.005 0.186 0.001 0.279 2 7.78 0.41 -0.79 0.53 -1.19 0.17
127 0.000 0.000 0.000 0.000 0.000 0.000 1.398 16.323 0.317 0.000 0.067 0.000 2 8.02 0.53 -0.07 0.05 -1.83 0.11
128 0.000 0.000 0.000 0.000 0.000 0.000 0.040 13.638 0.021 0.120 0.004 0.244 2 8.11 0.45 -1.07 0.52 -2.03 0.11
129 0.000 0.000 0.000 0.000 0.000 0.000 0.014 0.346 0.027 0.271 0.004 0.374 2 7.88 0.39 -0.90 0.45 -1.51 0.30
130 0.000 0.000 0.000 0.000 0.000 0.000 0.049 0.490 0.024 0.392 0.005 0.585 2 7.87 0.39 -0.65 0.53 -1.54 0.24
131 0.000 0.000 0.000 0.000 0.000 0.000 0.007 9.032 0.010 0.261 0.002 0.371 2 8.09 0.39 -0.83 0.54 -2.04 0.10
132 0.000 0.000 0.000 0.000 0.000 0.000 0.008 0.231 0.004 0.155 0.002 0.383 2 7.86 0.40 -1.08 0.53 -1.37 0.33
133 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.002 0.383 2 7.89 0.40 -0.92 0.49 -1.50 0.34
134 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.002 0.383 2 7.78 0.39 -0.74 0.46 -1.48 0.37
135 0.000 0.000 0.000 0.000 0.000 0.000 0.010 0.448 0.004 0.240 0.001 0.352 2 7.90 0.40 -0.95 0.58 -1.50 0.32
