#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
80 0.000 0.000 0.000 0.000 0.000 0.000 0.640 0.605 0.374 0.336 0.149 0.506 2 8.01 0.37 -0.77 0.46 -1.60 0.31
81 0.000 0.000 0.000 0.000 0.000 0.000 0.443 9.034 0.667 0.414 0.111 0.375 2 8.09 0.37 -0.51 0.34 -1.92 0.24
82 0.000 0.000 0.000 0.000 0.000 0.000 0.497 0.264 0.236 0.167 0.115 0.384 2 7.89 0.37 -0.79 0.39 -1.61 0.28
83 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.88 0.37 -0.64 0.46 -1.76 0.32
84 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.88 0.38 -0.73 0.49 -1.70 0.30
85 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.063 0.354 2 7.88 0.35 -0.60 0.42 -1.68 0.34
86 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.27 0.31 -0.70 0.55 -1.40 0.32
87 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.29 0.31 -0.84 0.49 -1.38 0.30
88 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.39 0.25 -0.72 0.49 -1.49 0.27
89 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.14 0.35 -0.61 0.51 -1.46 0.30
90 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.35 0.33 -0.54 0.42 -1.56 0.28
91 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.46 0.27 -0.68 0.46 -1.53 0.29
92 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.42 0.29 -0.78 0.54 -1.43 0.33
93 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.36 0.31 -0.68 0.59 -1.52 0.30
94 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.55 0.27 -0.98 0.47 -1.37 0.28
95 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.47 0.28 -0.78 0.45 -1.50 0.31
96 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.42 0.32 -0.91 0.61 -1.51 0.30
97 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.57 0.28 -1.07 0.41 -1.46 0.22
98 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.44 0.27 -0.73 0.37 -1.44 0.36
99 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.45 0.30 -0.85 0.44 -1.51 0.31
100 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.36 0.36 -0.65 0.41 -1.56 0.31
101 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.47 0.30 -1.32 0.43 -1.49 0.22
102 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.41 0.33 -1.13 0.55 -1.56 0.27
103 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.29 -1.38 0.42 -1.44 0.24
104 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.26 -1.28 0.51 -1.43 0.27
105 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.53 0.28 -1.38 0.47 -1.48 0.26
106 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.52 0.28 -1.27 0.53 -1.51 0.18
107 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.46 0.32 -1.16 0.47 -1.52 0.23
108 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.29 -1.25 0.50 -1.46 0.18
109 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.29 -1.07 0.47 -1.43 0.25
110 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.58 0.26 -1.36 0.55 -1.53 0.22
111 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.41 0.36 -1.17 0.57 -1.52 0.27
112 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.16 0.35 -0.95 0.54 -1.53 0.35
113 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.12 0.34 -0.91 0.48 -1.45 0.27
114 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.20 0.31 -1.01 0.61 -1.47 0.27
115 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.21 0.33 -0.95 0.50 -1.45 0.30
116 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.16 0.36 -0.87 0.46 -1.66 0.33
117 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.16 0.34 -0.84 0.48 -1.67 0.27
118 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.20 0.31 -0.61 0.41 -1.69 0.24
119 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.250 5.586 15.048 1.121 5.165 2 8.50 0.23 -0.56 0.36 -1.29 0.07
120 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.250 5.586 15.048 1.121 5.165 2 8.38 0.30 -0.57 0.52 -1.17 0.16
